1,64989,73089,67063,56882,59434,73273
2,31951,65060,60366,70767,57294,73074
3,72677,66880,72073,59701,62172,62173
4,7338,66745,60873,72737,57618,99999
5,67063,56882,64989,73273,73089,59434
6,62173,72073,72677,62172,66880,59701
7,67598,59499,71957,72294,55856,69811
8,64989,7338,73089,66745,67063,60873
9,56882,72737,59434,57618,73273,99999
10,69811,72294,59499,55856,71957,67598
11,73074,70767,65060,57294,60366,31951
12,64989,73089,67063,56882,59434,73273
13,99999,72737,57618,66745,60873,7338
14,59499,57294,72294,73074,69811,70767
15,67598,60366,71957,31951,55856,65060
16,57618,60873,72737,99999,7338,66745
17,72073,62172,66880,62173,59701,72677
18,72294,55856,67598,69811,59499,71957
19,70767,72677,57294,66880,65060,62172
20,60366,72073,73074,62173,31951,59701
